age,pc,acc,rt,age.cen,pc.cen
10.114,0.37836,0.85,489.35,-7.1959,-0.20439
10.133,0.4932,0.7,474.43,-7.1767,-0.089551
10.163,0.47697,0.8,507.31,-7.1466,-0.10579
10.461,0.41531,0.9,438.39,-6.8482,-0.16744
10.486,0.53925,0.75,452.27,-6.8235,-0.043503
10.53,0.5529,0.925,483.59,-6.7797,-0.029855
10.568,0.55224,0.75,467.87,-6.7414,-0.030509
10.752,0.51513,0.8,414,-6.558,-0.067622
10.757,0.57218,0.875,424.77,-6.5525,-0.010571
10.883,0.64697,1,454.38,-6.4265,0.06422
10.921,0.42676,0.375,486.4,-6.3882,-0.15599
10.932,0.53139,0.475,387.16,-6.3773,-0.051364
11.025,0.52843,0.675,468.93,-6.2842,-0.054321
11.124,0.62695,0.85,411.06,-6.1856,0.044194
11.154,0.44185,0.925,357.95,-6.1555,-0.1409
11.244,0.63112,0.45,371.22,-6.0651,0.048367
11.277,0.56651,0.85,402.12,-6.0323,-0.016238
11.406,0.54724,1,367.75,-5.9036,-0.035513
11.532,0.67655,0.85,402.12,-5.7777,0.093797
11.691,0.63058,0.825,367.15,-5.6189,0.047824
11.699,0.49756,0.825,375.33,-5.6107,-0.085191
11.71,0.4176,0.35,493.71,-5.5997,-0.16515
11.745,0.37454,0.775,433.16,-5.5641,-0.20821
11.97,0.60516,0.9,398.19,-5.3396,0.022412
12.12,0.51182,0.875,344.49,-5.189,-0.070931
12.162,0.53296,0.925,385.57,-5.148,-0.049792
12.225,0.64514,0.95,406.37,-5.085,0.062384
12.23,0.5755,0.875,397.89,-5.0795,-0.0072523
12.268,0.56707,0.975,410.21,-5.0412,-0.01568
12.35,0.59413,0.5,428.75,-4.9591,0.011374
12.411,0.66629,0.575,333.87,-4.8988,0.083534
12.465,0.57094,0.95,394.79,-4.8441,-0.011816
12.471,0.60356,1,346.02,-4.8386,0.020804
12.509,0.63116,0.725,307.86,-4.8003,0.04841
12.654,0.6151,0.8,433.91,-4.6552,0.032347
12.709,0.44909,0.8,359.88,-4.6004,-0.13366
12.876,0.6173,0.95,309.53,-4.4334,0.034547
12.914,0.52756,0.9,414.25,-4.3951,-0.055192
13.046,0.60805,0.7,437.07,-4.2636,0.025299
13.046,0.65002,0.65,336.92,-4.2636,0.067267
13.112,0.61499,0.95,457.92,-4.1979,0.032242
13.142,0.50011,0.975,309.1,-4.1678,-0.082645
13.437,0.60409,0.8,341.41,-3.8721,0.021339
13.533,0.66473,0.775,469.94,-3.7763,0.081973
13.648,0.50744,0.825,320.76,-3.6613,-0.075311
13.681,0.4804,0.825,423.98,-3.6285,-0.10235
13.812,0.58722,0.925,404.43,-3.497,0.0044705
13.84,0.66422,0.85,391.12,-3.4697,0.081468
13.854,0.36864,0.55,380.95,-3.456,-0.21411
13.87,0.57896,0.95,336.18,-3.4395,-0.003791
13.936,0.55708,0.975,385.18,-3.3738,-0.025668
13.969,0.63848,0.7,379.79,-3.341,0.055728
14.149,0.63624,0.95,317.82,-3.1603,0.053491
14.22,0.62407,1,340.9,-3.0891,0.041316
14.242,0.57106,0.825,435.09,-3.0672,-0.011688
14.574,0.59831,0.85,297.26,-2.7359,0.015554
14.631,0.48281,0.95,328.39,-2.6784,-0.09994
14.738,0.62709,0.75,480.8,-2.5716,0.044341
14.768,0.6097,0.975,312.69,-2.5415,0.026949
14.823,0.64707,0.775,432,-2.4868,0.064322
14.85,0.61384,0.8,382.84,-2.4594,0.031085
14.853,0.64863,0.975,447.21,-2.4567,0.065878
14.888,0.62561,0.9,331.42,-2.4211,0.042862
14.99,0.56767,0.875,421.77,-2.3198,-0.015084
15.039,0.58366,0.875,362.83,-2.2705,0.0009085
15.069,0.64692,0.95,405.5,-2.2404,0.064163
15.151,0.55801,1,371.88,-2.1582,-0.024743
15.302,0.56563,0.925,368.43,-2.0077,-0.017118
15.411,0.58709,0.95,304.26,-1.8981,0.0043355
15.556,0.5931,1,356,-1.753,0.010351
15.595,0.57786,0.95,344.37,-1.7147,-0.0048894
15.603,0.68619,0.875,403.83,-1.7065,0.10344
15.65,0.58667,0.975,335.46,-1.6599,0.0039175
15.691,0.60096,0.725,335.24,-1.6189,0.018207
15.775,0.54797,0.75,466.53,-1.534,-0.034778
15.882,0.57114,0.6,470.83,-1.4272,-0.011614
15.91,0.48922,0.95,401.47,-1.3998,-0.093537
15.923,0.54811,0.7,364.54,-1.3862,-0.034645
15.973,0.56553,0.925,373.08,-1.3369,-0.017219
16.052,0.6159,1,338,-1.2575,0.033147
16.162,0.63869,0.925,358.46,-1.148,0.055935
16.214,0.58625,0.95,376.39,-1.0959,0.0034975
16.285,0.54488,0.95,442.16,-1.0248,-0.037868
16.29,0.6348,0.875,328.6,-1.0193,0.052045
16.745,0.6098,0.95,427.42,-0.56481,0.027044
16.764,0.59763,0.975,441.36,-0.54561,0.014878
17.01,0.60563,0.95,368.79,-0.29921,0.022878
17.125,0.58446,0.95,392.21,-0.18421,0.0017092
17.155,0.57541,0.775,371.81,-0.15411,-0.0073429
17.229,0.54494,0.975,324.82,-0.080213,-0.037817
17.44,0.62331,0.875,296.34,0.13059,0.040554
17.454,0.57311,0.65,351.92,0.14429,-0.0096427
17.462,0.482,0.875,489.94,0.15249,-0.10075
17.492,0.60779,0.825,345.82,0.18259,0.025038
17.84,0.59728,0.725,416.45,0.53029,0.014524
17.864,0.62415,0.95,390.71,0.55499,0.041394
17.905,0.59489,0.925,350.16,0.59599,0.012137
17.96,0.63513,0.925,357.81,0.65079,0.052376
18.114,0.61872,0.8,444.44,0.80409,0.03597
18.141,0.63419,0.95,433.42,0.83149,0.051438
18.171,0.52731,0.9,356.78,0.86159,-0.055439
18.314,0.57867,0.7,365.32,1.004,-0.0040799
18.333,0.55,0.925,424.86,1.0231,-0.032757
18.39,0.62669,0.95,401.18,1.0806,0.043938
18.428,0.55804,0.975,372.72,1.119,-0.024708
18.489,0.43072,0.95,288.11,1.1792,-0.15203
18.522,0.55962,0.875,318.03,1.2121,-0.02313
18.544,0.55802,0.775,339.68,1.234,-0.024736
18.565,0.57219,0.975,316.72,1.2559,-0.010565
18.604,0.63832,0.925,336.16,1.2942,0.05557
18.653,0.65684,0.8,438,1.3435,0.074089
18.721,0.5736,0.95,384.34,1.4119,-0.0091471
